,Team_Name,City,Year,Games,Points_Scored/GM,Rush_Yds/GM,Pass_Yds/GM,Total_Yds/GM,Points_Allowed/GM,Rush_Yds_Allowed/GM,Pass_Yds_Allowed/GM,Yds_Allowed/GM
0,Cowboys,Dallas,2019,16,27.1,134.6,296.9,431.5,20.1,103.5,223.5,327.0
1,Ravens,Baltimore,2019,16,33.2,206.0,201.6,407.6,17.6,93.4,207.2,300.6
2,Buccaneers,Tampa Bay,2019,16,28.6,95.1,302.8,397.9,28.1,73.8,270.1,343.9
3,49ers,San Francisco,2019,16,29.9,144.1,237.0,381.1,19.4,112.6,169.2,281.8
4,Falcons,Atlanta,2019,16,23.8,85.1,294.6,379.7,24.9,110.9,244.9,355.8
5,Chiefs,Kansas City,2019,16,28.2,98.1,281.1,379.2,19.2,128.2,221.4,349.6
6,Rams,Los Angeles,2019,16,24.6,93.7,281.2,374.9,22.8,113.1,226.6,339.6
7,Seahawks,Seattle,2019,16,25.3,137.5,236.9,374.4,24.9,117.7,263.9,381.6
8,Saints,New Orleans,2019,16,28.6,108.6,265.2,373.9,21.3,91.3,241.8,333.1
9,Chargers,Los Angeles,2019,16,21.1,90.8,276.6,367.4,21.6,112.8,200.2,313.1
10,Raiders,Oakland,2019,16,19.6,118.3,245.4,363.7,26.2,98.1,256.7,354.8
11,Titans,Tennessee,2019,16,25.1,138.9,223.9,362.8,20.7,104.5,255.0,359.5
12,Texans,Houston,2019,16,23.6,125.6,236.4,362.0,24.1,121.1,267.2,388.3
13,Eagles,Philadelphia,2019,16,24.1,121.2,239.6,360.8,22.1,90.1,241.6,331.7
14,Patriots,New England,2019,16,26.2,106.4,247.6,354.0,14.1,95.5,180.4,275.9
15,Vikings,Minnesota,2019,16,25.4,133.3,220.2,353.5,18.9,108.0,233.6,341.6
16,Lions,Detroit,2019,16,21.3,103.1,243.8,346.8,26.4,115.9,284.4,400.4
17,Packers,Green Bay,2019,16,23.5,112.2,233.3,345.5,19.6,120.1,232.6,352.6
18,Panthers,Carolina,2019,16,21.2,113.7,228.1,341.8,29.4,143.5,231.0,374.5
19,Jaguars,Jacksonville,2019,16,18.8,106.8,235.0,341.8,24.8,139.3,236.1,375.4
20,Cardinals,Arizona,2019,16,22.6,124.4,217.3,341.7,27.6,120.1,281.9,402.0
21,Browns,Cleveland,2019,16,20.9,118.8,222.1,340.9,24.6,144.7,216.9,361.6
22,Giants,New York,2019,16,21.3,105.3,233.2,338.5,28.2,113.2,264.1,377.3
23,Bills,Buffalo,2019,16,19.6,128.4,201.8,330.2,16.2,103.1,195.2,298.2
24,Colts,Indianapolis,2019,16,22.6,133.1,194.2,327.4,23.3,97.9,248.9,346.8
25,Bengals,Cincinnati,2019,16,17.4,94.8,228.2,323.1,26.2,148.9,244.8,393.7
26,Dolphins,Miami,2019,16,19.1,72.2,237.8,310.0,30.9,135.4,262.4,397.8
27,Broncos,Denver,2019,16,17.6,103.9,194.7,298.6,19.8,111.4,225.6,337.0
28,Bears,Chicago,2019,16,17.5,91.1,205.7,296.8,18.6,102.0,222.1,324.1
29,Steelers,Pittsburgh,2019,16,18.1,90.4,186.3,276.8,18.9,109.6,194.6,304.1
30,Redskins,Washington,2019,16,16.6,98.9,175.8,274.7,27.2,146.2,238.9,385.1
31,Jets,New York,2019,16,17.2,78.6,194.4,273.0,22.4,86.9,236.2,323.1
0,Chiefs,Kansas City,2018,16,35.3,115.9,309.7,425.6,26.3,132.1,273.4,405.5
1,Rams,Los Angeles,2018,16,32.9,139.4,281.7,421.1,24.0,122.3,236.2,358.6
2,Buccaneers,Tampa Bay,2018,16,24.8,95.2,320.3,415.5,29.0,123.9,259.4,383.4
3,Steelers,Pittsburgh,2018,16,26.8,90.3,313.0,403.3,22.5,96.1,231.1,327.2
4,Patriots,New England,2018,16,27.2,127.3,266.1,393.4,20.3,112.7,246.4,359.1
5,Falcons,Atlanta,2018,16,25.9,98.3,290.8,389.1,26.4,124.9,259.6,384.5
6,Colts,Indianapolis,2018,16,27.1,107.4,278.8,386.2,21.5,101.6,237.8,339.4
7,Saints,New Orleans,2018,16,31.5,126.6,252.6,379.2,22.1,80.2,268.9,349.1
8,Ravens,Baltimore,2018,16,24.3,152.6,222.4,374.9,17.9,82.9,210.0,292.9
9,Panthers,Carolina,2018,16,23.5,133.5,239.8,373.2,23.9,112.8,240.4,353.2
10,Chargers,Los Angeles,2018,16,26.8,117.1,255.6,372.6,20.6,105.8,227.9,333.7
11,Packers,Green Bay,2018,16,23.5,104.2,264.9,369.1,25.0,119.9,234.5,354.4
12,Browns,Cleveland,2018,16,22.4,118.3,250.4,368.8,24.5,135.2,257.8,393.0
13,Eagles,Philadelphia,2018,16,22.9,98.1,267.2,365.3,21.8,96.9,269.2,366.2
14,Texans,Houston,2018,16,25.1,126.3,236.3,362.6,19.8,82.7,260.4,343.1
15,49ers,San Francisco,2018,16,21.4,118.9,241.7,360.6,27.2,113.4,233.2,346.6
16,Giants,New York,2018,16,23.1,103.1,252.9,356.1,25.8,118.6,252.8,371.4
